"vin_1_10","county","city","state","zip_code","model_year","make","model","ev_type","cafv_type","electric_range","legislative_district","dol_vehicle_id","geocoded_column","electric_utility","_2020_census_tract"
"YV4H60PE7S","Kitsap","Bremerton","WA","98310","2025","VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","32","23","277607004","POINT (-122.61136 47.5752)","PUGET SOUND ENERGY INC","53035080101"
"5YJ3E1EB3K","Snohomish","Lynnwood","WA","98087","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","21","478641796","POINT (-122.27981 47.85727)","PUGET SOUND ENERGY INC","53061041703"
"1FADP5CUXD","Kitsap","Port Orchard","WA","98367","2013","FORD","C-MAX","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","19","35","253249678","POINT (-122.68471 47.50524)","PUGET SOUND ENERGY INC","53035092901"
"5YJSA1H20E","Thurston","Yelm","WA","98597","2014","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","208","2","131872905","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012530"
"7SAYGDEE2P","Snohomish","Bothell","WA","98012","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","1","260935657","POINT (-122.20105 47.84423)","PUGET SOUND ENERGY INC","53061051927"
"1N4AZ1CP2L","King","Renton","WA","98056","2020","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","149","41","140097940","POINT (-122.18839 47.51197)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025304"
"5YJSA1E49G","King","Renton","WA","98059","2016","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","210","11","174494631","POINT (-122.11589 47.50243)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025602"
"1G1FX6S00H","Kitsap","Port Orchard","WA","98366","2017","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","26","280892223","POINT (-122.63848 47.5414)","PUGET SOUND ENERGY INC","53035092200"
"WAUUPBFF2G","Kitsap","Port Orchard","WA","98366","2016","AUDI","A3","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","16","26","179801891","POINT (-122.63848 47.5414)","PUGET SOUND ENERGY INC","53035092200"
"KNDCE3LG3L","King","Burien","WA","98166","2020","KIA","NIRO","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","239","34","276617519","POINT (-122.33942 47.46864)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033027600"
"1G1RB6S56H","Island","Oak Harbor","WA","98277","2017","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","53","10","348224320","POINT (-122.64682 48.29077)","PUGET SOUND ENERGY INC","53029970300"
"WBY1Z2C58E","King","Duvall","WA","98019","2014","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","81","45","8371086","POINT (-121.98609 47.74068)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032401"
"5UXTA6C02P","Kitsap","Bainbridge Island","WA","98110","2023","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","30","23","233818987","POINT (-122.521 47.62759)","PUGET SOUND ENERGY INC","53035091002"
"7SAYGAEE6R","Kitsap","Poulsbo","WA","98370","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","23","266782463","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035940100"
"KL8CL6S03F","Kitsap","Bremerton","WA","98311","2015","CHEVROLET","SPARK","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","82","23","293823701","POINT (-122.60915 47.62631)","PUGET SOUND ENERGY INC","53035091500"
"5YJ3E1EB5J","Yakima","Yakima","WA","98901","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","14","220635992","POINT (-120.50729 46.60464)","PACIFICORP","53077000100"
"5YJ3E1EB2J","Snohomish","Everett","WA","98204","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","38","474924355","POINT (-122.27557 47.88936)","PUGET SOUND ENERGY INC","53061041906"
"5YJ3E1EB4J","King","Issaquah","WA","98029","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","5","235285200","POINT (-122.01656 47.57118)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032221"
"WA1LAAGE5K","King","Kirkland","WA","98033","2019","AUDI","E-TRON","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","204","48","249591667","POINT (-122.2066 47.67887)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022604"
"5YJXCAE23J","King","Redmond","WA","98052","2018","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","45","175341806","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032321"
"1N4AZ0CP9D","Kitsap","Poulsbo","WA","98370","2013","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","75","23","263375976","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035090400"
"5UXTA6C05P","Yakima","Yakima","WA","98908","2023","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","30","14","220083468","POINT (-120.60199 46.59817)","PACIFICORP","53077002801"
"5YJ3E1EBXL","Kitsap","Bainbridge Island","WA","98110","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","322","23","3570115","POINT (-122.521 47.62759)","PUGET SOUND ENERGY INC","53035090800"
"1V2VMPE85P","Kitsap","Poulsbo","WA","98370","2023","VOLKSWAGEN","ID.4","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","23","278020564","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035090502"
"5YJ3E1EB0K","Yakima","Yakima","WA","98908","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","14","259965023","POINT (-120.60199 46.59817)","PACIFICORP","53077002801"
"3C3CFFGE3E","King","Bellevue","WA","98007","2014","FIAT","500","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","87","48","269120995","POINT (-122.12056 47.61334)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023201"
"5YJ3E1EB7K","King","Kenmore","WA","98028","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","46","132131282","POINT (-122.24369 47.75892)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033021702"
"5YJSA1E23H","Kitsap","Bremerton","WA","98337","2017","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","210","26","260175702","POINT (-122.62749 47.565)","PUGET SOUND ENERGY INC","53035080600"
"5YJ3E1EB9L","King","Redmond","WA","98052","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","322","48","103004170","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022606"
"KNDC4DLC9P","Kitsap","Silverdale","WA","98383","2023","KIA","EV6","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","23","253385772","POINT (-122.69275 47.65171)","PUGET SOUND ENERGY INC","53035091205"
"3GN7DLRP7R","Yakima","Yakima","WA","98902","2024","CHEVROLET","EQUINOX","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","14","273486706","POINT (-120.52041 46.59751)","PACIFICORP","53077001202"
"7YAKNDDC1S","Kitsap","Olalla","WA","98359","2025","HYUNDAI","IONIQ 5","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","26","282198934","POINT (-122.54729 47.42602)","PUGET SOUND ENERGY INC","53035092803"
"3C3CFFGE9H","Kitsap","Bainbridge Island","WA","98110","2017","FIAT","500","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","23","144927121","POINT (-122.521 47.62759)","PUGET SOUND ENERGY INC","53035090700"
"KNDCC3LG9K","King","Bothell","WA","98011","2019","KIA","NIRO","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","239","1","315063416","POINT (-122.20563 47.76144)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033021802"
"KMHC65LD5K","Snohomish","Lake Stevens","WA","98258","2019","HYUNDAI","IONIQ","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","29","44","183316031","POINT (-122.06402 48.01497)","PUGET SOUND ENERGY INC","53061052606"
"5UX43EU00R","Kitsap","Bainbridge Island","WA","98110","2024","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","39","23","261319726","POINT (-122.521 47.62759)","PUGET SOUND ENERGY INC","53035090902"
"5YJ3E1EB3J","Snohomish","Bothell","WA","98021","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","1","475040247","POINT (-122.18384 47.8031)","PUGET SOUND ENERGY INC","53061051938"
"7SAYGDEE8R","Snohomish","Bothell","WA","98021","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","1","267250616","POINT (-122.18384 47.8031)","PUGET SOUND ENERGY INC","53061051937"
"1G1RB6E46D","Yakima","Yakima","WA","98902","2013","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","38","14","143594216","POINT (-120.52041 46.59751)","PACIFICORP","53077000800"
"5YJ3E1EA1J","King","Duvall","WA","98019","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","45","9257209","POINT (-121.98609 47.74068)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032402"
"5UXTA6C08P","Snohomish","Everett","WA","98208","2023","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","30","44","230211257","POINT (-122.18637 47.89251)","PUGET SOUND ENERGY INC","53061041606"
"5YJYGDEEXL","King","Kirkland","WA","98034","2020","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","291","1","124694811","POINT (-122.22901 47.72201)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022203"
"JTJHKCFZ6S","Thurston","Olympia","WA","98513","2025","LEXUS","NX","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","37","2","285191483","POINT (-122.80933 46.99531)","PUGET SOUND ENERGY INC","53067012332"
"5UXTA6C0XN","King","Seattle","WA","98177","2022","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","30","32","288997397","POINT (-122.37238 47.74068)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033000500"
"JM3KKEHA9S","Kitsap","Seabeck","WA","98380","2025","MAZDA","CX-90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","26","35","285630796","POINT (-122.81585 47.64509)","PUGET SOUND ENERGY INC","53035092000"
"1N4BZ1CP7L","King","Seattle","WA","98101","2020","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","43","291002855","POINT (-122.34223 47.61085)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033008101"
"5YJ3E1EC2L","King","Duvall","WA","98019","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","308","45","290325227","POINT (-121.98609 47.74068)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032402"
"KMHC65LD5K","Yakima","Selah","WA","98942","2019","HYUNDAI","IONIQ","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","29","15","323959233","POINT (-120.53145 46.65405)","PACIFICORP","53077003200"
"1G1RA6S53J","Kitsap","Kingston","WA","98346","2018","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","53","23","170370063","POINT (-122.4977 47.79802)","PUGET SOUND ENERGY INC","53035090101"
"1N4AZ1CP7J","Thurston","Olympia","WA","98506","2018","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","151","22","274765802","POINT (-122.87741 47.05997)","PUGET SOUND ENERGY INC","53067010200"
"YV4H60PE1S","Snohomish","Bothell","WA","98012","2025","VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","32","44","272825010","POINT (-122.20105 47.84423)","PUGET SOUND ENERGY INC","53061052007"
"7SAYGDEE1S","Thurston","Olympia","WA","98501","2025","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","22","272581837","POINT (-122.89165 47.03954)","PUGET SOUND ENERGY INC","53067010700"
"5YJ3E1EB3L","Thurston","Tumwater","WA","98512","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","322","22","123139915","POINT (-123.04078 46.94792)","PUGET SOUND ENERGY INC","53067010910"
"WA1LABGE1K","Kitsap","Kingston","WA","98346","2019","AUDI","E-TRON","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","204","23","127293099","POINT (-122.4977 47.79802)","PUGET SOUND ENERGY INC","53035090102"
"YV4BR0DK1M","Snohomish","Everett","WA","98203","2021","VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","18","38","140880085","POINT (-122.23019 47.94949)","PUGET SOUND ENERGY INC","53061041100"
"1N4AZ0CP2F","Thurston","Olympia","WA","98516","2015","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","22","168826906","POINT (-122.78598 47.08476)","PUGET SOUND ENERGY INC","53067012211"
"7SAYGDEF2N","Yakima","Selah","WA","98942","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","15","219542739","POINT (-120.53145 46.65405)","PACIFICORP","53077003100"
"1G1FY6S08L","Stevens","Colville","WA","99114","2020","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","259","7","112186420","POINT (-117.90454 48.54657)","AVISTA CORP","53065950300"
"1N4AZ0CP2F","Snohomish","Bothell","WA","98012","2015","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","1","194376472","POINT (-122.20105 47.84423)","PUGET SOUND ENERGY INC","53061051933"
"1C4JJXR63P","Kitsap","Bremerton","WA","98312","2023","JEEP","WRANGLER","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","21","35","274434436","POINT (-122.65223 47.57192)","PUGET SOUND ENERGY INC","53035080900"
"1N4BZ1DP1L","Island","Oak Harbor","WA","98277","2020","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","10","283289359","POINT (-122.64682 48.29077)","PUGET SOUND ENERGY INC","53029970800"
"1FADP5CU2G","Thurston","Olympia","WA","98506","2016","FORD","C-MAX","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","19","22","348257164","POINT (-122.87741 47.05997)","PUGET SOUND ENERGY INC","53067012223"
"5YJ3E1EB5K","Thurston","Olympia","WA","98501","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","22","177568856","POINT (-122.89165 47.03954)","PUGET SOUND ENERGY INC","53067011721"
"WBS83FK07T","Yakima","Yakima","WA","98908","2026","BMW","M5","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","25","14","288616989","POINT (-120.60199 46.59817)","PACIFICORP","53077002900"
"1N4AZ0CP0E","Thurston","Olympia","WA","98506","2014","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","22","8173896","POINT (-122.87741 47.05997)","PUGET SOUND ENERGY INC","53067012100"
"5YJ3E1EA4J","Kitsap","Poulsbo","WA","98370","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","23","226051010","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035940100"
"5YJXCBE28H","Snohomish","Bothell","WA","98012","2017","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","200","1","196550154","POINT (-122.20105 47.84423)","PUGET SOUND ENERGY INC","53061052009"
"JA4T5VA93P","Thurston","Yelm","WA","98597","2023","MITSUBISHI","OUTLANDER","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","38","2","286766406","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012412"
"5YJ3E1EB2L","King","Seattle","WA","98122","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","322","43","127271665","POINT (-122.31009 47.60803)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033008402"
"7SAXCDE57T","Thurston","Olympia","WA","98502","2026","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","22","290837557","POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC","53067011100"
"5YJ3E1EB8K","Yakima","Yakima","WA","98901","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","15","156242754","POINT (-120.50729 46.60464)","PACIFICORP","53077001601"
"KNDC3DLC7N","Kitsap","Poulsbo","WA","98370","2022","KIA","EV6","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","23","207302756","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035940100"
"5YJSA1E22K","King","Redmond","WA","98052","2019","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","270","48","148721443","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032331"
"5YJSA1H21F","Thurston","Yelm","WA","98597","2015","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","208","2","321121496","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012531"
"5TDACAC68T","Yakima","Selah","WA","98942","2026","LEXUS","TX","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","33","15","290109081","POINT (-120.53145 46.65405)","PACIFICORP","53077003100"
"JTMBDAFB8T","Stevens","Colville","WA","99114","2026","TOYOTA","BZ","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","7","292707810","POINT (-117.90454 48.54657)","AVISTA CORP","53065950300"
"KNDC44LA7R","Kitsap","Port Orchard","WA","98367","2024","KIA","EV6","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","26","276272804","POINT (-122.68471 47.50524)","PUGET SOUND ENERGY INC","53035092102"
"1G1FY6S09K","Kitsap","Port Orchard","WA","98367","2019","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","26","271104956","POINT (-122.68471 47.50524)","PUGET SOUND ENERGY INC","53035092701"
"1N4AZ0CP6D","King","Seattle","WA","98103","2013","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","75","43","9473082","POINT (-122.35436 47.67596)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033005401"
"1C4RJYB61P","Thurston","Yelm","WA","98597","2023","JEEP","GRAND CHEROKEE","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","25","2","238150265","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012421"
"5YJXCDE2XH","Yakima","Yakima","WA","98908","2017","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","200","14","292177399","POINT (-120.60199 46.59817)","PACIFICORP","53077000902"
"5YJ3E1EB9L","King","Redmond","WA","98052","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","322","45","103421433","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032323"
"5UXTS1C05M","Kitsap","Bremerton","WA","98310","2021","BMW","X3","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","17","23","172737659","POINT (-122.61136 47.5752)","PUGET SOUND ENERGY INC","53035080400"
"YV4BR00Z9N","Kitsap","Suquamish","WA","98392","2022","VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","18","23","276672483","POINT (-122.55242 47.73162)","PUGET SOUND ENERGY INC","53035940100"
"5YJ3E1EB5K","King","Seattle","WA","98115","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","46","314224270","POINT (-122.31676 47.68156)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033003900"
"1N4AZ1CPXJ","King","Seattle","WA","98115","2018","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","151","43","172237222","POINT (-122.31676 47.68156)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033002600"
"1G1RB6E46D","Yakima","Yakima","WA","98902","2013","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","38","14","149869205","POINT (-120.52041 46.59751)","PACIFICORP","53077000700"
"1N4AZ0CP5D","Thurston","Olympia","WA","98506","2013","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","75","22","173540573","POINT (-122.87741 47.05997)","PUGET SOUND ENERGY INC","53067012211"
"5YJ3E1EB7J","Kitsap","Suquamish","WA","98392","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","23","333381646","POINT (-122.55242 47.73162)","PUGET SOUND ENERGY INC","53035940100"
"5YJYGDEE9L","King","Renton","WA","98058","2020","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","291","11","127262691","POINT (-122.08747 47.4466)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025702"
"KNDCC3LG8L","Thurston","Olympia","WA","98502","2020","KIA","NIRO","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","239","22","127113479","POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC","53067010520"
"5YJ3E1EB7M","Kitsap","Bremerton","WA","98337","2021","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","26","272254384","POINT (-122.62749 47.565)","PUGET SOUND ENERGY INC","53035081200"
"1C4JJXP62P","Thurston","Olympia","WA","98502","2023","JEEP","WRANGLER","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","21","35","221536892","POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC","53067011901"
"1G1RC6S55G","Yakima","Yakima","WA","98908","2016","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","53","14","198710396","POINT (-120.60199 46.59817)","PACIFICORP","53077000401"
"1N4BZ0CP9G","King","Seattle","WA","98125","2016","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","46","8768378","POINT (-122.30253 47.72656)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033001100"
"1G1RC6S56H","Yakima","Yakima","WA","98908","2017","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","53","14","108867573","POINT (-120.60199 46.59817)","PACIFICORP","53077000902"
"1N4AZ0CPXF","Thurston","Tumwater","WA","98512","2015","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","22","117136610","POINT (-123.04078 46.94792)","PUGET SOUND ENERGY INC","53067010910"
"JA4J24A54K","Snohomish","Lake Stevens","WA","98258","2019","MITSUBISHI","OUTLANDER","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","22","44","477034358","POINT (-122.06402 48.01497)","PUGET SOUND ENERGY INC","53061052607"
"1N4AZ0CP6F","King","Shoreline","WA","98155","2015","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","32","192698768","POINT (-122.30304 47.75494)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033020500"
"5XYC3DJC9S","Thurston","Yelm","WA","98597","2025","KIA","EV6","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","2","291807085","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012422"
"5YJ3E1EB6K","King","Seattle","WA","98136","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","34","194502031","POINT (-122.38415 47.53755)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033011602"
"1C4JJXR63M","Kitsap","Bremerton","WA","98311","2021","JEEP","WRANGLER","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","21","23","290875987","POINT (-122.60915 47.62631)","PUGET SOUND ENERGY INC","53035091702"
"7JRH60FZ1N","Snohomish","Arlington","WA","98223","2022","VOLVO","S60","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","41","39","236230480","POINT (-122.1264 48.19471)","PUGET SOUND ENERGY INC","53061053507"
"W1NKM5GB5S","Kitsap","Poulsbo","WA","98370","2025","MERCEDES-BENZ","GLC-CLASS","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","54","23","290467089","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035090502"
"5YJ3E1EA9L","King","Redmond","WA","98052","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","266","48","109674358","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022902"
"1G1RB6E44E","Thurston","Olympia","WA","98502","2014","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","38","22","136588301","POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC","53067011100"
